LambLife starting: 50x50 grid, seed=2, ticks=10000
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=205657.7 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=234264.2 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=98942.7 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=254052.7 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=118583.3 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=136109.7 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=225119.4 center=(26,25)
tick=6000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=195997.0/3126307.7 size=11.4/499 age=5996.9/6000 gen=4
tick=6100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=199251.5/3180039.4 size=11.4/499 age=6096.9/6100 gen=4
tick=6200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=202515.2/3231515.2 size=11.4/499 age=6196.9/6200 gen=4
tick=6300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=205764.2/3286833.9 size=11.4/499 age=6296.9/6300 gen=4
tick=6400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=209036.3/3339672.5 size=11.4/499 age=6396.9/6400 gen=4
tick=6500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=212293.9/3388622.5 size=11.4/499 age=6496.9/6500 gen=4
tick=6600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=215554.7/3426362.7 size=11.4/499 age=6596.9/6600 gen=4
tick=6700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=218823.4/3478083.5 size=11.4/499 age=6696.9/6700 gen=4
tick=6800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=222114.6/3523939.3 size=11.4/499 age=6796.9/6800 gen=4
tick=6900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=225400.7/3579238.1 size=11.4/499 age=6896.9/6900 gen=4
=== Diversity @ tick 7000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=117547.0 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=247074.9 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=96918.1 center=(22,24)
